"Gene","lfc","padj","Stage","Significant","Regulation"
"Plasminogen",-0.0842250708085857,0.617719160491469,"Late",FALSE,"None"
"TIM-3",-0.466682626575166,0.617719160491469,"Late",FALSE,"None"
"IL-1β",0.276634254803041,0.722302430748721,"Late",FALSE,"None"
"IL-10",0.393448535132058,0.722302430748721,"Late",FALSE,"None"
"Eotaxin",-0.284506181269871,0.722302430748721,"Late",FALSE,"None"
"PD-1",-0.440344401356409,0.771936576730276,"Late",FALSE,"None"
"Fibrinogen",0.0681419120665758,0.875993951700448,"Late",FALSE,"None"
"TGF-β1",-0.35133826569592,0.883929191379065,"Late",FALSE,"None"
"TF",-0.0623437162240226,0.884518474856699,"Late",FALSE,"None"
"CTLA-4",-0.249537876252022,0.884518474856699,"Late",FALSE,"None"
"IP-10",-0.072252733935966,0.884518474856699,"Late",FALSE,"None"
"4-1BB",-0.160090738187677,0.884518474856699,"Late",FALSE,"None"
"IL-8",0.135864969214948,0.884518474856699,"Late",FALSE,"None"
"TNF-α",0.194536745310178,0.884518474856699,"Late",FALSE,"None"
"sCD40L",-0.0571690089750767,0.884518474856699,"Late",FALSE,"None"
"IGFBP4",0.0590907232917495,0.884518474856699,"Late",FALSE,"None"
"IL-6",0.125693052152407,0.884518474856699,"Late",FALSE,"None"
"IFN-y",-0.126949174528151,0.884518474856699,"Late",FALSE,"None"
"IFN-β",0.10851319462713,0.887030340570088,"Late",FALSE,"None"
"Antithrombin",0.021085572753563,0.887030340570088,"Late",FALSE,"None"
"LAG-3",0.0944037623154941,0.887030340570088,"Late",FALSE,"None"
"IL-17A",0.0355556832267698,0.941148849142161,"Late",FALSE,"None"
"IL-12p40",0.0325655207347566,0.941148849142161,"Late",FALSE,"None"
"IL-23",0.0413568950635712,0.941148849142161,"Late",FALSE,"None"
