"Gene","lfc","padj","Stage","Significant","Regulation"
"BCL2L11",-0.706574098393497,0.10679203449066,"Early",FALSE,"None"
"CD5",0.412139027997505,0.0728004040767658,"Early",FALSE,"None"
"BIRC2",-0.767039810565113,0.116221521067134,"Early",FALSE,"None"
"LILRA5",0.353757636466853,0.0746436867898936,"Early",FALSE,"None"
"IL1R1",-0.678555451379757,0.107704933874617,"Early",FALSE,"None"
"FCGR3",-0.83820623848815,0.116221521067134,"Early",FALSE,"None"
"CD247",-0.775949639639499,0.119099442945058,"Early",FALSE,"None"
"MAP3K1",-0.750674093950952,0.121204274929684,"Early",FALSE,"None"
"CCR5",-0.694653856392812,0.118783874795567,"Early",FALSE,"None"
"SRC",0.338969005437091,0.0791538203800684,"Early",FALSE,"None"
"MAP3K7",-0.664991734356055,0.113520230584414,"Early",FALSE,"None"
"HSH2D",-0.567139011773087,0.113166801351614,"Early",FALSE,"None"
"CD40LG",-0.65812836058509,0.123532189197731,"Early",FALSE,"None"
"CASP2",-0.627612302126673,0.124407786007119,"Early",FALSE,"None"
"S100A9",-0.589366251244186,0.0827973515338762,"Early",FALSE,"None"
"ATF2",-0.71781135539108,0.133001111081699,"Early",FALSE,"None"
"CD79A",0.490600514148595,0.100153796387366,"Early",FALSE,"None"
"SOCS3",0.434841756127866,0.0935555939688886,"Early",FALSE,"None"
"HMGB2",-0.639711777704403,0.12900740604869,"Early",FALSE,"None"
"PTPN22",-0.659189854095237,0.127926170807161,"Early",FALSE,"None"
"CD55",0.470049210433245,0.093489068460137,"Early",FALSE,"None"
"NOTCH2",-0.651354502130872,0.136167011912647,"Early",FALSE,"None"
"C5aR1",-0.664892285879025,0.12900740604869,"Early",FALSE,"None"
"CD47",0.470104066467069,0.118783874795567,"Early",FALSE,"None"
"CD53",-0.536082026995457,0.127298354627267,"Early",FALSE,"None"
"TIRAP",0.353797577892901,0.0945545367684143,"Early",FALSE,"None"
"IFNG",0.325755363822942,0.0970237837050329,"Early",FALSE,"None"
"GRB2",-0.646702801813881,0.153160500424343,"Early",FALSE,"None"
"CD24",-0.620292647572613,0.135597660060461,"Early",FALSE,"None"
"IL7",-0.689911462941207,0.150358910935368,"Early",FALSE,"None"
"CFL1",0.439407450504975,0.1354635590487,"Early",FALSE,"None"
"POLR2A",-0.712254514537433,0.160102608400002,"Early",FALSE,"None"
"TNFSF13B",-0.69493173913942,0.161046481758054,"Early",FALSE,"None"
"IL6ST",-0.640513809537656,0.160102608400002,"Early",FALSE,"None"
"CD44",0.333868701907011,0.136167011912647,"Early",FALSE,"None"
"LGALS3",0.380656394757398,0.136167011912647,"Early",FALSE,"None"
"BCL2",-0.636905772105718,0.161046481758054,"Early",FALSE,"None"
"CTSC",-0.618024764077337,0.157380963144098,"Early",FALSE,"None"
"CCR4",-0.636568138137566,0.168391474112042,"Early",FALSE,"None"
"CCL5",-0.660464547632279,0.166144710696463,"Early",FALSE,"None"
"STAT4",-0.67676041215531,0.173403971440444,"Early",FALSE,"None"
"F13A1",0.558656606500897,0.142754996442035,"Early",FALSE,"None"
"BCL3",-0.528720005177685,0.160102608400002,"Early",FALSE,"None"
"CD48",0.326733815848947,0.136611711202973,"Early",FALSE,"None"
"IFNAR1",-0.569746174716072,0.158122103031776,"Early",FALSE,"None"
"IRF8",0.374173667591234,0.118783874795567,"Early",FALSE,"None"
"ALOX5",0.303970179168219,0.116221521067134,"Early",FALSE,"None"
"NOD1",0.337726216212205,0.117758064754165,"Early",FALSE,"None"
"ITGAM",-0.586991615526846,0.176846264067438,"Early",FALSE,"None"
"HLA-B",0.475562513788264,0.13458339976468,"Early",FALSE,"None"
"IKBKE",0.312501529607423,0.117041078624803,"Early",FALSE,"None"
"TAL1",-0.696957954014866,0.183940986019819,"Early",FALSE,"None"
"BID",-0.661030962916767,0.187237017795018,"Early",FALSE,"None"
"GUSB",0.35133595029028,0.124142753972128,"Early",FALSE,"None"
"STAT3",-0.528196229612785,0.183643384395912,"Early",FALSE,"None"
"FN1",-0.72261837718141,0.187237017795018,"Early",FALSE,"None"
"PPP1R12B",0.328414615698751,0.123673146315562,"Early",FALSE,"None"
"CREB1",-0.580904028134752,0.186086593892519,"Early",FALSE,"None"
"IL18RAP",0.326943849652095,0.121204274929684,"Early",FALSE,"None"
"C10orf54",-0.510667019286013,0.185187698019923,"Early",FALSE,"None"
"DPP4",-0.585382192823194,0.187237017795018,"Early",FALSE,"None"
"CD274",-0.632406075544644,0.197895777570415,"Early",FALSE,"None"
"G6PD",0.399789025972318,0.157380963144098,"Early",FALSE,"None"
"RPS6KA5",-0.598992653879515,0.205193111119586,"Early",FALSE,"None"
"TNFSF12",0.373162876906254,0.148617493953487,"Early",FALSE,"None"
"CCR2",-0.445114685971904,0.185187698019923,"Early",FALSE,"None"
"FYN",0.469773616210652,0.197040736686382,"Early",FALSE,"None"
"PDGFB",-0.555173437497333,0.176485993337695,"Early",FALSE,"None"
"NUP107",-0.398641754264221,0.185092472056466,"Early",FALSE,"None"
"CD38",-0.570219307227737,0.20590016189084,"Early",FALSE,"None"
"TRAF1",0.31192828727298,0.141204863253046,"Early",FALSE,"None"
"OAZ1",0.601969234496686,0.101501444819332,"Early",FALSE,"None"
"MEF2A",0.306992716820456,0.136990213945968,"Early",FALSE,"None"
"TNFSF10",0.335110659189239,0.141507265497953,"Early",FALSE,"None"
"MKNK1",-0.550009916191172,0.195516350063245,"Early",FALSE,"None"
"PRF1",0.512876351138079,0.212029353253871,"Early",FALSE,"None"
"IL1RN",-0.346241994479202,0.183643384395912,"Early",FALSE,"None"
"TAP1",0.277435402763942,0.183643384395912,"Early",FALSE,"None"
"PTPRC",0.251343718496695,0.15667576301095,"Early",FALSE,"None"
"IFIT2",-0.704417869152925,0.242529032619254,"Early",FALSE,"None"
"KLRC3",-0.639594729024364,0.242529032619254,"Early",FALSE,"None"
"CTSS",0.251157171119823,0.178924020376231,"Early",FALSE,"None"
"TGFB1",0.444266423313465,0.224867438230639,"Early",FALSE,"None"
"TBK1",-0.530556560638506,0.235390048998491,"Early",FALSE,"None"
"IL29",0.365924967605044,0.145412637902532,"Early",FALSE,"None"
"MAFG",0.376868366906042,0.177305348624921,"Early",FALSE,"None"
"LILRA3",-0.545734195067521,0.219602877908025,"Early",FALSE,"None"
"KLRC2",-0.6081802499383,0.25262743856689,"Early",FALSE,"None"
"NOTCH1",0.379382024243141,0.187256773784764,"Early",FALSE,"None"
"CXCL3",-0.584980754026116,0.245165240311203,"Early",FALSE,"None"
"PTPN6",-0.463701142405963,0.242529032619254,"Early",FALSE,"None"
"TOLLIP",-0.491920468108699,0.218910666897622,"Early",FALSE,"None"
"KCNJ2",-0.610726735031195,0.268913621120291,"Early",FALSE,"None"
"CAMP",-0.512277805820996,0.248406292087339,"Early",FALSE,"None"
"GPI",-0.51251094168672,0.286425003327845,"Early",FALSE,"None"
"TGFBR2",-0.548156524056729,0.283378820720925,"Early",FALSE,"None"
"CTNNB1",-0.40245212277378,0.249592105162755,"Early",FALSE,"None"
"TAGAP",-0.422587460281679,0.253356247617901,"Early",FALSE,"None"
"KLRF1",-0.57166040912525,0.296075465392545,"Early",FALSE,"None"
"TYK2",-0.533901046692108,0.29887070327786,"Early",FALSE,"None"
"LILRB1",0.271521895428222,0.176846264067438,"Early",FALSE,"None"
"SMAD3",-0.44832144128729,0.270513576723765,"Early",FALSE,"None"
"CD2",-0.492754498546946,0.29887070327786,"Early",FALSE,"None"
"BCL2L1",0.502492760425925,0.200392162116298,"Early",FALSE,"None"
"C1QBP",-0.495720545290919,0.302957123667366,"Early",FALSE,"None"
"CTLA4",0.353610739348817,0.19868113627635,"Early",FALSE,"None"
"FAS",-0.524926859395881,0.314428387990557,"Early",FALSE,"None"
"SLC2A1",-0.510578923187837,0.304288311955686,"Early",FALSE,"None"
"IFIT3",-0.636556595782285,0.314428387990557,"Early",FALSE,"None"
"TGFBI",-0.457789058546706,0.299925628635882,"Early",FALSE,"None"
"IFI44",-0.577136722642242,0.299925628635882,"Early",FALSE,"None"
"IRF4",-0.478491345933392,0.304288311955686,"Early",FALSE,"None"
"IL16",-0.46290033310609,0.318521323612424,"Early",FALSE,"None"
"USP9Y",0.332915332978221,0.289411600601407,"Early",FALSE,"None"
"IL1B",-0.447942590535422,0.299925628635882,"Early",FALSE,"None"
"IGF2R",-0.446282701964584,0.29887070327786,"Early",FALSE,"None"
"MAP2K6",-0.459153379497173,0.304762976806406,"Early",FALSE,"None"
"CD14",-0.378613718972742,0.304762976806406,"Early",FALSE,"None"
"IL2RG",-0.506576596450055,0.338504675699909,"Early",FALSE,"None"
"MAP4K4",0.537070619599247,0.282450528626357,"Early",FALSE,"None"
"DDX58",-0.40739635677175,0.304288311955686,"Early",FALSE,"None"
"IRAK1",0.3310395376086,0.245165240311203,"Early",FALSE,"None"
"STAT5A",-0.441182235970925,0.326169947520218,"Early",FALSE,"None"
"REPS1",-0.437899540364873,0.326169947520218,"Early",FALSE,"None"
"HLA-DPB1",-0.429564101044702,0.347728022671428,"Early",FALSE,"None"
"EWSR1",0.366098668341417,0.314428387990557,"Early",FALSE,"None"
"HLA-DPA1",-0.617045449206241,0.329886126078324,"Early",FALSE,"None"
"IFIH1",-0.4704626087413,0.361002418022415,"Early",FALSE,"None"
"TBX21",-0.473863587637337,0.350342335979711,"Early",FALSE,"None"
"OAS2",-0.44869066794473,0.358256274364484,"Early",FALSE,"None"
"GZMK",0.587777372356509,0.299925628635882,"Early",FALSE,"None"
"IDO1",-0.394027032041707,0.29887070327786,"Early",FALSE,"None"
"ATG10",0.32738166966115,0.245165240311203,"Early",FALSE,"None"
"CDKN1A",0.363257630385474,0.255597461091215,"Early",FALSE,"None"
"RAC1",-0.490567995918614,0.372493214624808,"Early",FALSE,"None"
"PSMB5",-0.345797107403591,0.304288311955686,"Early",FALSE,"None"
"PTK2",-0.470277477810406,0.365319099275511,"Early",FALSE,"None"
"CYSLTR1",0.291035357917157,0.221477142070662,"Early",FALSE,"None"
"RIPK1",-0.413637435263282,0.34800488959918,"Early",FALSE,"None"
"HDAC4",-0.319019966185365,0.304288311955686,"Early",FALSE,"None"
"IKZF1",0.306015633605679,0.329886126078324,"Early",FALSE,"None"
"IKBKAP",-0.386367853921084,0.34800488959918,"Early",FALSE,"None"
"BCAP31",-0.407183013967133,0.380022783839211,"Early",FALSE,"None"
"HIF1A",-0.44162492605754,0.396119407719545,"Early",FALSE,"None"
"MALT1",-0.416746783018912,0.380605161183597,"Early",FALSE,"None"
"ETS1",0.368687916752494,0.314428387990557,"Early",FALSE,"None"
